Date,Price,Open,High,Low,Vol.,Change %
2017-01-01,995.4,963.4,"1,001.6",956.1,41.15K,3.33%
2017-01-02,"1,017.0",995.4,"1,031.7",990.2,64.95K,2.17%
2017-01-03,"1,033.3","1,017.0","1,035.5","1,006.5",54.79K,1.60%
2017-01-04,"1,135.4","1,033.3","1,148.5","1,022.3",156.27K,9.88%
2017-01-05,989.3,"1,135.4","1,150.6",874.5,240.01K,-12.86%
2017-01-06,886.2,989.3,"1,027.4",852.5,194.29K,-10.43%
2017-01-07,888.9,886.2,900.9,806.7,130.66K,0.31%
2017-01-08,900.9,888.9,936.1,875.8,76.91K,1.35%
2017-01-09,899.8,900.9,910.5,870.9,62.58K,-0.12%
2017-01-10,904.4,899.8,911.3,890.1,53.71K,0.51%
2017-01-11,785.4,904.4,917.7,751.6,194.44K,-13.15%
2017-01-12,810.1,785.4,828.2,739.5,120.24K,3.14%
2017-01-13,824.8,810.1,835.0,771.0,89.86K,1.82%
2017-01-14,819.6,824.8,838.9,808.3,44.21K,-0.63%
2017-01-15,821.2,819.6,826.4,808.6,24.40K,0.19%
2017-01-16,827.3,821.2,836.7,817.7,33.22K,0.75%
2017-01-17,899.7,827.3,906.4,825.0,82.21K,8.74%
2017-01-18,872.0,899.7,913.7,845.9,69.26K,-3.07%
2017-01-19,895.2,872.0,905.3,870.7,58.44K,2.66%
2017-01-20,892.9,895.2,901.5,878.9,38.87K,-0.26%
2017-01-21,919.8,892.9,928.9,889.5,40.38K,3.02%
2017-01-22,918.8,919.8,938.4,888.6,47.93K,-0.11%
2017-01-23,921.5,918.8,928.0,910.8,32.74K,0.29%
2017-01-24,893.8,921.5,925.6,889.2,58.87K,-3.01%
2017-01-25,894.4,893.8,905.7,883.6,37.90K,0.07%
2017-01-26,915.6,894.4,919.3,893.5,33.80K,2.36%
2017-01-27,918.0,915.6,922.6,907.9,30.97K,0.27%
2017-01-28,918.5,918.0,921.9,912.8,14.31K,0.05%
2017-01-29,914.5,918.5,922.4,912.7,11.05K,-0.43%
2017-01-30,920.7,914.5,922.3,911.5,19.06K,0.68%
2017-01-31,965.5,920.7,967.5,917.4,54.67K,4.86%
2017-02-01,982.4,965.5,986.6,959.8,45.22K,1.75%
2017-02-02,"1,004.0",982.4,"1,009.1",973.5,50.86K,2.19%
2017-02-03,"1,013.0","1,004.0","1,023.7",989.2,61.67K,0.90%
2017-02-04,"1,031.8","1,013.0","1,041.0","1,000.4",39.46K,1.86%
2017-02-05,"1,016.1","1,031.8","1,033.7","1,004.0",31.06K,-1.53%
2017-02-06,"1,024.7","1,016.1","1,030.6","1,010.8",32.02K,0.84%
2017-02-07,"1,049.6","1,024.7","1,054.1","1,019.9",39.55K,2.43%
2017-02-08,"1,055.5","1,049.6","1,069.2","1,020.3",65.15K,0.56%
2017-02-09,979.0,"1,055.5","1,073.0",924.7,146.75K,-7.25%
2017-02-10,997.6,979.0,"1,005.6",947.0,62.13K,1.91%
2017-02-11,"1,008.3",997.6,"1,014.3",983.9,28.32K,1.07%
2017-02-12,996.5,"1,008.3","1,007.8",992.5,14.75K,-1.17%
2017-02-13,995.4,996.5,"1,007.6",975.1,32.91K,-0.12%
2017-02-14,"1,008.3",995.4,"1,013.8",986.5,39.54K,1.30%
2017-02-15,"1,008.2","1,008.3","1,010.9",999.7,23.36K,-0.01%
2017-02-16,"1,031.9","1,008.2","1,040.3","1,007.4",38.08K,2.35%
2017-02-17,"1,049.4","1,031.9","1,057.4","1,025.9",45.71K,1.69%
2017-02-18,"1,052.3","1,049.4","1,063.2","1,044.7",25.36K,0.27%
2017-02-19,"1,048.9","1,052.3","1,056.5","1,037.7",17.95K,-0.32%
2017-02-20,"1,077.6","1,048.9","1,081.8","1,041.0",31.01K,2.73%
2017-02-21,"1,119.0","1,077.6","1,123.0","1,073.5",57.05K,3.85%
2017-02-22,"1,120.5","1,119.0","1,132.3","1,094.8",47.91K,0.13%
2017-02-23,"1,171.9","1,120.5","1,181.6","1,113.5",65.74K,4.59%
2017-02-24,"1,176.5","1,171.9","1,211.7","1,092.4",108.17K,0.39%
2017-02-25,"1,149.1","1,176.5","1,180.0","1,116.2",45.86K,-2.33%
2017-02-26,"1,171.6","1,149.1","1,177.5","1,130.6",30.77K,1.96%
2017-02-27,"1,188.8","1,171.6","1,195.8","1,164.3",35.47K,1.47%
2017-02-28,"1,189.3","1,188.8","1,208.2","1,175.8",50.58K,0.04%
2017-03-01,"1,222.7","1,189.3","1,225.0","1,154.6",51.15K,2.81%
2017-03-02,"1,255.5","1,222.7","1,287.0","1,212.0",78.49K,2.68%
2017-03-03,"1,283.3","1,255.5","1,291.3","1,250.8",67.28K,2.22%
2017-03-04,"1,264.3","1,283.3","1,285.8","1,228.7",38.42K,-1.48%
2017-03-05,"1,271.2","1,264.3","1,273.3","1,242.1",25.43K,0.55%
2017-03-06,"1,277.0","1,271.2","1,280.6","1,261.0",31.03K,0.46%
2017-03-07,"1,232.7","1,277.0","1,280.9","1,148.7",87.72K,-3.47%
2017-03-08,"1,147.0","1,232.7","1,242.0","1,136.9",97.88K,-6.95%
2017-03-09,"1,191.3","1,147.0","1,207.0","1,129.3",59.86K,3.87%
2017-03-10,"1,112.4","1,191.3","1,330.4",988.7,190.47K,-6.63%
2017-03-11,"1,179.2","1,112.4","1,202.7","1,104.8",70.75K,6.01%
2017-03-12,"1,225.1","1,179.2","1,235.5","1,160.9",44.41K,3.89%
2017-03-13,"1,238.2","1,225.1","1,245.6","1,205.6",60.46K,1.07%
2017-03-14,"1,243.1","1,238.2","1,255.5","1,218.4",45.14K,0.40%
2017-03-15,"1,253.4","1,243.1","1,256.9","1,236.4",43.59K,0.83%
2017-03-16,"1,172.9","1,253.4","1,260.2","1,119.0",132.77K,-6.43%
2017-03-17,"1,071.7","1,172.9","1,174.9","1,063.5",163.74K,-8.63%
2017-03-18,971.4,"1,071.7","1,103.6",940.2,210.42K,-9.36%
2017-03-19,"1,022.6",971.4,"1,063.7",967.3,106.45K,5.27%
2017-03-20,"1,047.5","1,022.6","1,057.5","1,005.0",61.43K,2.44%
2017-03-21,"1,121.3","1,047.5","1,125.5","1,043.9",92.59K,7.04%
2017-03-22,"1,044.7","1,121.3","1,121.9",997.8,115.29K,-6.83%
2017-03-23,"1,035.0","1,044.7","1,062.8","1,022.0",56.52K,-0.93%
2017-03-24,939.7,"1,035.0","1,038.4",927.3,132.60K,-9.21%
2017-03-25,966.3,939.7,996.0,890.4,127.05K,2.83%
2017-03-26,969.4,966.3,"1,004.3",946.7,85.33K,0.32%
2017-03-27,"1,045.1",969.4,"1,048.8",961.8,91.26K,7.81%
2017-03-28,"1,044.4","1,045.1","1,068.4","1,015.5",80.00K,-0.07%
2017-03-29,"1,041.9","1,044.4","1,058.7","1,008.3",68.85K,-0.24%
2017-03-30,"1,037.9","1,041.9","1,052.7","1,020.9",74.99K,-0.38%
2017-03-31,"1,079.1","1,037.9","1,088.2","1,035.2",90.99K,3.97%
2017-04-01,"1,086.1","1,079.1","1,103.7","1,067.5",50.66K,0.65%
2017-04-02,"1,097.4","1,086.1","1,109.5","1,074.2",70.98K,1.04%
2017-04-03,"1,147.6","1,097.4","1,157.9","1,095.6",98.50K,4.57%
2017-04-04,"1,141.8","1,147.6","1,161.2","1,122.2",71.00K,-0.50%
2017-04-05,"1,129.9","1,141.8","1,143.8","1,110.1",69.47K,-1.04%
2017-04-06,"1,188.7","1,129.9","1,201.6","1,130.5",92.36K,5.21%
2017-04-07,"1,190.5","1,188.7","1,201.2","1,173.2",59.75K,0.15%
2017-04-08,"1,180.8","1,190.5","1,198.2","1,166.7",33.18K,-0.82%
2017-04-09,"1,204.3","1,180.8","1,215.1","1,174.0",45.35K,2.00%
2017-04-10,"1,206.7","1,204.3","1,214.9","1,194.8",40.01K,0.20%
2017-04-11,"1,220.7","1,206.7","1,229.6","1,195.8",37.40K,1.16%
2017-04-12,"1,212.5","1,220.7","1,225.5","1,207.4",44.78K,-0.67%
2017-04-13,"1,176.2","1,212.5","1,218.7","1,150.3",66.05K,-3.00%
2017-04-14,"1,177.3","1,176.2","1,195.4","1,162.2",47.22K,0.10%
2017-04-15,"1,177.0","1,177.3","1,194.8",841.5,28.39K,-0.03%
2017-04-16,"1,176.8","1,177.0","1,188.0","1,166.7",18.93K,-0.02%
2017-04-17,"1,194.0","1,176.8","1,203.0","1,172.8",46.48K,1.46%
2017-04-18,"1,206.1","1,194.0","1,213.9","1,191.1",52.75K,1.01%
2017-04-19,"1,215.2","1,206.1","1,218.2","1,194.1",43.35K,0.76%
2017-04-20,"1,238.1","1,215.2","1,246.6","1,210.7",55.20K,1.88%
2017-04-21,"1,249.6","1,238.1","1,257.0","1,235.6",41.34K,0.93%
2017-04-22,"1,240.9","1,249.6","1,257.0","1,215.8",43.82K,-0.70%
2017-04-23,"1,249.1","1,240.9","1,256.2","1,223.1",42.61K,0.66%
2017-04-24,"1,248.2","1,249.1","1,256.4","1,234.9",38.54K,-0.08%
2017-04-25,"1,264.3","1,248.2","1,272.6","1,244.2",43.89K,1.29%
2017-04-26,"1,286.6","1,264.3","1,309.2","1,263.0",58.91K,1.77%
2017-04-27,"1,332.9","1,286.6","1,346.8","1,285.3",61.77K,3.60%
2017-04-28,"1,329.6","1,332.9","1,356.2","1,287.6",77.57K,-0.25%
2017-04-29,"1,336.3","1,329.6","1,343.7","1,314.2",40.97K,0.50%
2017-04-30,"1,351.9","1,336.3","1,358.9","1,309.7",40.64K,1.17%
2017-05-01,"1,415.8","1,351.9","1,448.7","1,342.8",100.44K,4.73%
2017-05-02,"1,445.9","1,415.8","1,471.1","1,394.8",70.01K,2.13%
2017-05-03,"1,485.6","1,445.9","1,496.4","1,424.1",81.72K,2.74%
2017-05-04,"1,516.8","1,485.6","1,609.8","1,437.1",136.71K,2.10%
2017-05-05,"1,507.8","1,516.8","1,588.1","1,485.0",120.38K,-0.59%
2017-05-06,"1,545.3","1,507.8","1,560.4","1,503.9",59.60K,2.49%
2017-05-07,"1,554.4","1,545.3","1,572.9","1,495.2",71.36K,0.59%
2017-05-08,"1,664.5","1,554.4","1,667.7","1,552.9",107.23K,7.08%
2017-05-09,"1,697.5","1,664.5","1,757.4","1,620.0",127.23K,1.98%
2017-05-10,"1,752.3","1,697.5","1,766.2","1,665.0",89.68K,3.23%
2017-05-11,"1,819.3","1,752.3","1,864.8","1,741.5",109.01K,3.82%
2017-05-12,"1,686.4","1,819.3","1,822.5","1,641.2",109.34K,-7.31%
2017-05-13,"1,763.7","1,686.4","1,770.5","1,594.6",75.47K,4.59%
2017-05-14,"1,772.6","1,763.7","1,802.8","1,736.1",40.64K,0.50%
2017-05-15,"1,708.9","1,772.6","1,776.7","1,656.8",80.24K,-3.59%
2017-05-16,"1,729.3","1,708.9","1,752.6","1,653.7",75.54K,1.19%
2017-05-17,"1,801.3","1,729.3","1,842.8","1,704.0",94.62K,4.16%
2017-05-18,"1,881.0","1,801.3","1,980.5","1,791.1",73.10K,4.42%
2017-05-19,"1,962.0","1,881.0","1,969.7","1,875.3",98.76K,4.31%
2017-05-20,"2,040.2","1,962.0","2,048.4","1,944.4",89.86K,3.98%
2017-05-21,"2,044.2","2,040.2","2,094.9","1,980.1",78.78K,0.20%
2017-05-22,"2,124.4","2,044.2","2,264.8","1,998.6",174.38K,3.92%
2017-05-23,"2,272.6","2,124.4","2,286.3","2,110.8",114.18K,6.97%
2017-05-24,"2,445.3","2,272.6","2,497.0","2,263.3",149.26K,7.60%
2017-05-25,"2,307.2","2,445.3","2,781.8","2,210.5",248.44K,-5.65%
2017-05-26,"2,244.9","2,307.0","2,616.5","2,051.4",191.49K,-2.70%
2017-05-27,"2,052.4","2,244.9","2,322.4","1,868.6",222.95K,-8.57%
2017-05-28,"2,189.0","2,052.4","2,300.5","2,051.1",125.00K,6.66%
2017-05-29,"2,278.2","2,189.0","2,337.4","2,117.3",92.24K,4.07%
2017-05-30,"2,192.6","2,278.2","2,329.3","2,147.1",120.96K,-3.76%
2017-05-31,"2,303.3","2,192.6","2,330.6","2,168.4",117.75K,5.05%
2017-06-01,"2,412.6","2,303.3","2,460.8","2,303.3",122.70K,4.75%
2017-06-02,"2,492.6","2,412.6","2,494.0","2,385.6",83.03K,3.31%
2017-06-03,"2,545.4","2,492.6","2,582.8","2,449.9",70.96K,2.12%
2017-06-04,"2,524.1","2,545.4","2,559.8","2,478.2",59.48K,-0.84%
2017-06-05,"2,705.0","2,524.1","2,705.4","2,523.9",86.69K,7.17%
2017-06-06,"2,870.5","2,705.0","2,931.2","2,699.7",192.23K,6.12%
2017-06-07,"2,691.5","2,870.5","2,880.9","2,626.6",122.68K,-6.24%
