Date,Price,Open,High,Low,Vol.,Change %
2019-08-04,"10,934.6","10,816.1","11,017.7","10,568.8",585.71K,1.10%
2019-08-05,"11,816.8","10,934.8","11,922.3","10,934.8",769.63K,8.07%
2019-08-06,"11,480.9","11,817.6","12,291.9","11,237.0",807.58K,-2.84%
2019-08-07,"12,013.9","11,481.0","12,114.5","11,406.4",702.85K,4.64%
2019-08-08,"12,191.6","12,015.9","12,236.6","11,727.0",592.15K,1.48%
2019-08-09,"12,089.8","12,190.0","12,225.3","11,885.0",558.72K,-0.84%
2019-08-10,"11,314.5","12,090.5","12,185.0","11,281.6",570.74K,-6.41%
2019-08-11,"11,517.2","11,314.6","11,728.4","11,146.1",435.83K,1.79%
2019-08-12,"11,394.2","11,505.1","11,508.6","11,267.3",391.08K,-1.07%
2019-08-13,"10,892.9","11,395.0","11,445.6","10,793.2",540.78K,-4.40%
2019-08-14,"10,049.4","10,894.2","10,894.5","9,965.5",745.59K,-7.74%
2019-08-15,"10,303.4","10,053.3","10,448.2","9,580.1",930.05K,2.53%
2019-08-16,"10,335.6","10,300.9","10,734.0","9,788.6",798.67K,0.31%
2019-08-17,"10,218.1","10,335.5","10,460.7","10,016.3",497.77K,-1.14%
2019-08-18,"10,312.7","10,219.3","10,494.9","10,086.7",441.11K,0.93%
2019-08-19,"10,910.7","10,312.8","10,923.9","10,267.8",519.01K,5.80%
2019-08-20,"10,752.6","10,911.2","10,941.6","10,581.0",515.47K,-1.45%
2019-08-21,"10,141.5","10,753.3","10,797.8","9,908.0",717.65K,-5.68%
2019-08-22,"10,105.0","10,141.1","10,218.2","9,777.0",520.75K,-0.36%
2019-08-23,"10,388.7","10,104.9","10,434.3","9,921.4",436.26K,2.81%
2019-08-24,"10,131.0","10,389.4","10,415.9","9,917.5",463.85K,-2.48%
2019-08-25,"10,136.3","10,132.1","10,307.0","9,935.2",422.53K,0.05%
2019-08-26,"10,371.8","10,136.0","10,568.2","10,136.0",568.77K,2.32%
2019-08-27,"10,184.8","10,372.2","10,387.6","10,060.2",419.81K,-1.80%
2019-08-28,"9,729.4","10,184.7","10,271.3","9,629.6",580.29K,-4.47%
2019-08-29,"9,491.0","9,729.1","9,729.1","9,343.0",509.13K,-2.45%
2019-08-30,"9,585.4","9,494.1","9,675.7","9,370.2",413.92K,0.99%
2019-08-31,"9,594.4","9,585.5","9,677.5","9,457.3",311.49K,0.09%
2019-09-01,"9,729.3","9,594.7","9,799.5","9,533.6",322.66K,1.41%
2019-09-02,"10,348.8","9,728.8","10,431.5","9,720.3",542.79K,6.37%
2019-09-03,"10,612.3","10,348.1","10,756.8","10,283.5",578.79K,2.55%
2019-09-04,"10,568.2","10,611.6","10,783.6","10,388.6",504.45K,-0.42%
2019-09-05,"10,566.9","10,567.8","10,630.7","10,469.9",402.09K,-0.01%
2019-09-06,"10,309.3","10,566.7","10,896.2","10,227.4",643.02K,-2.44%
2019-09-07,"10,461.1","10,306.9","10,556.4","10,302.3",393.57K,1.47%
2019-09-08,"10,402.8","10,461.6","10,578.0","10,266.3",339.73K,-0.56%
2019-09-09,"10,309.0","10,402.1","10,478.0","10,095.7",473.76K,-0.90%
2019-09-10,"10,105.4","10,308.7","10,379.8","9,970.7",383.22K,-1.98%
2019-09-11,"10,162.5","10,104.9","10,257.5","9,908.9",413.06K,0.57%
2019-09-12,"10,415.1","10,162.4","10,447.9","10,051.0",413.22K,2.49%
2019-09-13,"10,342.1","10,415.2","10,441.4","10,174.1",365.52K,-0.70%
2019-09-14,"10,337.3","10,342.2","10,421.4","10,253.7",326.44K,-0.05%
2019-09-15,"10,311.5","10,337.3","10,360.4","10,272.0",255.79K,-0.25%
2019-09-16,"10,255.5","10,311.3","10,360.5","10,108.5",372.53K,-0.54%
2019-09-17,"10,195.7","10,254.6","10,273.6","10,153.5",321.64K,-0.58%
2019-09-18,"10,164.7","10,195.7","10,257.5","10,119.3",318.82K,-0.30%
2019-09-19,"10,250.5","10,164.6","10,297.6","9,707.6",542.25K,0.84%
2019-09-20,"10,172.7","10,251.5","10,279.5","10,088.6",362.07K,-0.76%
2019-09-21,"9,993.0","10,172.8","10,177.9","9,939.8",326.17K,-1.77%
2019-09-22,"10,031.6","9,993.0","10,075.0","9,870.9",337.06K,0.39%
2019-09-23,"9,702.2","10,031.3","10,048.8","9,656.3",431.10K,-3.28%
2019-09-24,"8,513.9","9,702.7","9,793.8","8,069.4",933.16K,-12.25%
2019-09-25,"8,432.4","8,512.3","8,729.8","8,245.1",696.11K,-0.96%
2019-09-26,"8,063.8","8,432.5","8,463.1","7,773.6",731.03K,-4.37%
2019-09-27,"8,184.9","8,063.8","8,257.4","7,882.1",561.40K,1.50%
2019-09-28,"8,208.5","8,184.5","8,297.2","8,031.1",457.79K,0.29%
2019-09-29,"8,049.1","8,208.0","8,226.8","7,922.1",418.48K,-1.94%
2019-09-30,"8,284.3","8,048.9","8,318.5","7,749.0",600.26K,2.92%
2019-10-01,"8,302.7","8,285.0","8,486.2","8,187.9",533.95K,0.22%
2019-10-02,"8,364.1","8,302.7","8,374.0","8,167.7",405.86K,0.74%
2019-10-03,"8,226.9","8,363.6","8,391.7","8,090.1",460.97K,-1.64%
2019-10-04,"8,148.1","8,227.6","8,233.6","8,041.4",416.92K,-0.96%
2019-10-05,"8,127.3","8,148.0","8,185.1","8,030.6",360.92K,-0.25%
2019-10-06,"7,881.9","8,127.3","8,145.5","7,834.9",448.80K,-3.02%
2019-10-07,"8,198.6","7,882.6","8,293.5","7,797.0",604.74K,4.02%
2019-10-08,"8,182.9","8,198.5","8,323.1","8,118.1",469.04K,-0.19%
2019-10-09,"8,566.7","8,180.1","8,655.9","8,122.7",636.43K,4.69%
2019-10-10,"8,562.3","8,566.8","8,638.5","8,438.7",511.46K,-0.05%
2019-10-11,"8,267.8","8,562.2","8,751.1","8,249.7",667.86K,-3.44%
2019-10-12,"8,304.4","8,267.6","8,394.8","8,260.9",424.02K,0.44%
2019-10-13,"8,281.5","8,304.3","8,450.2","8,190.6",419.87K,-0.28%
2019-10-14,"8,353.3","8,281.3","8,374.3","8,222.2",505.02K,0.87%
2019-10-15,"8,167.2","8,353.4","8,400.2","8,139.5",469.73K,-2.23%
2019-10-16,"8,000.4","8,167.1","8,185.9","7,929.8",538.92K,-2.04%
2019-10-17,"8,073.3","8,000.4","8,118.2","7,944.4",444.95K,0.91%
2019-10-18,"7,948.5","8,073.3","8,116.4","7,842.0",505.79K,-1.55%
2019-10-19,"7,957.3","7,948.3","8,060.2","7,892.4",428.83K,0.11%
2019-10-20,"8,223.4","7,957.4","8,288.5","7,889.6",513.91K,3.34%
2019-10-21,"8,208.2","8,224.1","8,315.3","8,155.7",489.40K,-0.18%
2019-10-22,"8,031.4","8,207.4","8,289.1","8,017.7",570.39K,-2.15%
2019-10-23,"7,477.0","8,031.0","8,055.0","7,329.2",892.08K,-6.90%
2019-10-24,"7,422.7","7,476.8","7,501.5","7,366.3",586.49K,-0.73%
2019-10-25,"8,658.3","7,422.8","8,697.7","7,404.9",1.18M,16.65%
2019-10-26,"9,230.6","8,658.4","10,540.0","8,061.8",1.78M,6.61%
2019-10-27,"9,529.6","9,230.6","9,773.2","9,081.0",1.16M,3.24%
2019-10-28,"9,207.2","9,530.1","9,866.9","9,202.5",1.04M,-3.38%
2019-10-29,"9,411.3","9,206.5","9,531.3","9,125.3",918.48K,2.22%
2019-10-30,"9,157.9","9,411.3","9,411.3","9,018.4",789.73K,-2.69%
2019-10-31,"9,152.6","9,157.9","9,378.9","8,959.6",798.93K,-0.06%
2019-11-01,"9,230.1","9,153.1","9,270.4","9,057.2",689.65K,0.85%
2019-11-02,"9,300.6","9,230.3","9,356.7","9,201.2",570.74K,0.76%
2019-11-03,"9,198.3","9,300.5","9,359.1","9,095.0",536.56K,-1.10%
2019-11-04,"9,396.4","9,198.7","9,500.4","9,134.1",681.01K,2.15%
2019-11-05,"9,310.8","9,396.1","9,452.7","9,193.9",653.42K,-0.91%
2019-11-06,"9,338.9","9,311.2","9,424.6","9,262.7",578.03K,0.30%
2019-11-07,"9,223.5","9,339.2","9,367.0","9,130.0",603.54K,-1.24%
2019-11-08,"8,778.2","9,223.6","9,254.8","8,722.4",791.79K,-4.83%
2019-11-09,"8,804.5","8,778.1","8,877.5","8,746.9",512.02K,0.30%
2019-11-10,"9,036.8","8,804.7","9,092.9","8,763.5",581.57K,2.64%
2019-11-11,"8,736.9","9,036.9","9,066.4","8,649.4",601.16K,-3.32%
2019-11-12,"8,812.6","8,737.4","8,841.2","8,615.7",575.16K,0.87%
2019-11-13,"8,783.1","8,813.2","8,829.7","8,721.1",454.33K,-0.33%
2019-11-14,"8,661.2","8,782.9","8,799.8","8,615.8",515.43K,-1.39%
2019-11-15,"8,476.3","8,660.8","8,761.8","8,437.1",653.71K,-2.13%
2019-11-16,"8,497.3","8,476.2","8,532.8","8,450.7",471.16K,0.25%
2019-11-17,"8,509.8","8,497.4","8,631.7","8,413.0",531.22K,0.15%
2019-11-18,"8,208.4","8,510.3","8,516.3","8,110.4",692.60K,-3.54%
2019-11-19,"8,145.7","8,207.7","8,245.6","8,032.8",654.27K,-0.76%
2019-11-20,"8,099.3","8,145.7","8,223.0","8,074.2",607.27K,-0.57%
2019-11-21,"7,627.9","8,099.4","8,129.6","7,519.7",891.50K,-5.82%
2019-11-22,"7,272.5","7,627.9","7,700.9","6,818.5",1.41M,-4.66%
2019-11-23,"7,324.1","7,271.6","7,342.5","7,093.7",783.18K,0.71%
2019-11-24,"6,924.7","7,325.0","7,344.1","6,894.9",904.50K,-5.45%
2019-11-25,"7,115.6","6,924.7","7,352.8","6,534.8",1.29M,2.76%
2019-11-26,"7,162.8","7,115.5","7,329.5","7,045.1",844.27K,0.66%
2019-11-27,"7,510.6","7,162.8","7,636.9","6,875.4",996.49K,4.86%
2019-11-28,"7,426.7","7,510.6","7,639.5","7,380.6",737.58K,-1.12%
2019-11-29,"7,742.7","7,426.6","7,825.3","7,412.3",766.71K,4.26%
2019-11-30,"7,546.6","7,742.7","7,787.7","7,472.7",650.60K,-2.53%
2019-12-01,"7,396.4","7,546.5","7,546.5","7,244.4",777.00K,-1.99%
2019-12-02,"7,298.2","7,395.9","7,433.8","7,173.6",687.78K,-1.33%
2019-12-03,"7,291.8","7,298.1","7,389.4","7,227.1",548.77K,-0.09%
2019-12-04,"7,204.4","7,291.9","7,702.2","7,113.6",971.75K,-1.20%
2019-12-05,"7,399.2","7,204.6","7,476.3","7,184.0",780.78K,2.70%
2019-12-06,"7,530.8","7,399.2","7,552.1","7,329.8",706.10K,1.78%
2019-12-07,"7,510.9","7,530.4","7,595.7","7,489.6",557.14K,-0.26%
2019-12-08,"7,524.4","7,510.8","7,576.4","7,416.7",499.04K,0.18%
2019-12-09,"7,355.8","7,524.8","7,626.0","7,321.6",648.66K,-2.24%
2019-12-10,"7,235.7","7,356.2","7,400.3","7,192.1",609.50K,-1.63%
2019-12-11,"7,208.0","7,235.8","7,284.4","7,168.8",518.40K,-0.38%
2019-12-12,"7,208.0","7,208.0","7,272.4","7,124.6",611.80K,0.00%
2019-12-13,"7,255.2","7,208.4","7,288.0","7,200.3",503.49K,0.65%
2019-12-14,"7,080.8","7,255.2","7,267.4","7,043.3",524.56K,-2.40%
2019-12-15,"7,128.5","7,080.8","7,175.8","7,033.8",492.58K,0.67%
2019-12-16,"6,903.5","7,128.5","7,153.1","6,864.6",689.56K,-3.16%
2019-12-17,"6,613.3","6,903.5","6,943.5","6,575.0",894.55K,-4.20%
2019-12-18,"7,276.0","6,613.5","7,387.7","6,462.2",1.14M,10.02%
2019-12-19,"7,165.5","7,276.4","7,354.0","7,039.3",778.72K,-1.52%
2019-12-20,"7,196.4","7,165.5","7,218.4","7,107.7",627.04K,0.43%
2019-12-21,"7,156.2","7,196.4","7,197.6","7,129.6",468.74K,-0.56%
2019-12-22,"7,495.8","7,156.3","7,501.1","7,142.0",677.94K,4.74%
2019-12-23,"7,322.8","7,496.2","7,684.0","7,276.2",952.16K,-2.31%
2019-12-24,"7,268.3","7,322.4","7,433.2","7,185.7",785.54K,-0.74%
2019-12-25,"7,224.8","7,268.3","7,542.4","7,150.9",625.41K,-0.60%
2019-12-26,"7,210.9","7,225.0","7,414.3","7,177.3",795.09K,-0.19%
2019-12-27,"7,261.7","7,210.8","7,293.8","7,128.5",718.07K,0.70%
2019-12-28,"7,321.5","7,261.9","7,375.9","7,256.5",610.96K,0.82%
2019-12-29,"7,397.5","7,321.6","7,518.9","7,303.0",611.69K,1.04%
2019-12-30,"7,261.8","7,397.5","7,420.9","7,244.1",606.11K,-1.84%
2019-12-31,"7,196.4","7,261.5","7,331.0","7,167.4",586.60K,-0.90%
2020-01-01,"7,199.8","7,196.4","7,259.4","7,180.0",420.28K,0.05%
2020-01-02,"6,967.0","7,199.7","7,209.6","6,901.4",632.78K,-3.23%
2020-01-03,"7,343.1","6,967.1","7,402.9","6,884.1",936.29K,5.40%
2020-01-04,"7,376.8","7,345.1","7,433.1","7,291.4",523.91K,0.46%
2020-01-05,"7,372.5","7,376.8","7,501.0","7,345.6",628.14K,-0.06%
2020-01-06,"7,759.1","7,372.6","7,783.1","7,366.7",786.75K,5.24%
2020-01-07,"8,155.7","7,759.1","8,182.0","7,754.1",1.01M,5.11%
2020-01-08,"8,059.6","8,154.2","8,436.4","7,900.8",1.19M,-1.18%
2020-01-09,"7,842.4","8,060.0","8,065.9","7,779.2",786.50K,-2.70%
2020-01-10,"8,187.1","7,842.5","8,187.4","7,697.7",1.05M,4.40%
2020-01-11,"8,024.1","8,187.8","8,262.9","8,008.4",776.75K,-1.99%
2020-01-12,"8,187.6","8,023.3","8,189.9","7,973.1",595.22K,2.04%
2020-01-13,"8,111.4","8,188.3","8,196.7","8,068.4",610.66K,-0.93%
2020-01-14,"8,829.2","8,111.2","8,898.7","8,111.2",1.48M,8.85%
2020-01-15,"8,818.3","8,827.9","8,904.0","8,615.5",1.17M,-0.12%
2020-01-16,"8,726.9","8,818.1","8,850.0","8,605.8",748.32K,-1.04%
2020-01-17,"8,913.1","8,726.7","9,005.1","8,675.9",794.11K,2.13%
2020-01-18,"8,916.3","8,913.0","8,982.3","8,814.6",627.74K,0.04%
2020-01-19,"8,706.2","8,916.3","9,183.7","8,552.8",975.01K,-2.36%
2020-01-20,"8,641.9","8,705.7","8,740.1","8,539.2",599.06K,-0.74%
2020-01-21,"8,732.6","8,642.0","8,770.3","8,524.0",540.20K,1.05%
2020-01-22,"8,678.5","8,733.0","8,805.4","8,610.8",509.06K,-0.62%
2020-01-23,"8,405.1","8,678.5","8,687.3","8,309.6",722.67K,-3.15%
2020-01-24,"8,439.9","8,404.9","8,522.0","8,242.6",617.02K,0.41%
2020-01-25,"8,341.6","8,439.9","8,447.6","8,277.2",444.00K,-1.17%
2020-01-26,"8,607.8","8,341.6","8,607.8","8,304.9",468.34K,3.19%
2020-01-27,"8,866.6","8,608.1","8,983.1","8,585.6",706.45K,3.01%
2020-01-28,"9,377.3","8,866.6","9,389.5","8,866.6",954.20K,5.76%
2020-01-29,"9,298.9","9,377.3","9,428.7","9,250.9",749.88K,-0.84%
2020-01-30,"9,507.3","9,299.1","9,569.0","9,209.2",765.21K,2.24%
2020-01-31,"9,349.1","9,508.3","9,525.0","9,222.3",633.37K,-1.66%
2020-02-01,"9,381.6","9,349.3","9,458.8","9,301.5",458.42K,0.35%
2020-02-02,"9,334.9","9,381.5","9,465.4","9,183.1",683.37K,-0.50%
2020-02-03,"9,296.6","9,334.6","9,582.8","9,243.1",701.39K,-0.41%
2020-02-04,"9,193.9","9,296.5","9,347.5","9,193.9",651.68K,-1.10%
2020-02-05,"9,611.8","9,194.1","9,726.8","9,179.9",771.46K,4.54%
2020-02-06,"9,772.0","9,611.8","9,854.9","9,536.1",778.67K,1.67%
2020-02-07,"9,818.6","9,771.9","9,872.5","9,738.7",608.96K,0.48%
2020-02-08,"9,895.5","9,817.3","9,931.2","9,673.2",551.31K,0.78%
2020-02-09,"10,151.5","9,895.4","10,157.1","9,882.7",617.35K,2.59%
2020-02-10,"9,854.1","10,151.5","10,181.7","9,774.8",781.22K,-2.93%
2020-02-11,"10,229.5","9,854.0","10,314.1","9,725.1",791.28K,3.81%
2020-02-12,"10,317.7","10,229.3","10,435.6","10,229.3",803.25K,0.86%
2020-02-13,"10,235.1","10,321.9","10,482.6","10,116.9",940.30K,-0.80%
2020-02-14,"10,333.0","10,235.5","10,372.4","10,125.2",732.51K,0.96%
2020-02-15,"9,907.7","10,336.0","10,369.8","9,831.7",808.81K,-4.12%
2020-02-16,"9,932.3","9,907.4","10,056.4","9,654.9",808.91K,0.25%
2020-02-17,"9,701.4","9,931.7","9,951.5","9,468.9",961.88K,-2.32%
2020-02-18,"10,158.4","9,701.5","10,230.1","9,601.6",945.91K,4.71%
2020-02-19,"9,609.4","10,158.6","10,230.9","9,424.3",905.95K,-5.40%
2020-02-20,"9,602.4","9,611.9","9,681.4","9,448.9",870.80K,-0.07%
2020-02-21,"9,684.5","9,602.2","9,747.1","9,574.5",716.61K,0.85%
2020-02-22,"9,655.7","9,684.5","9,706.5","9,569.8",589.88K,-0.30%
2020-02-23,"9,942.7","9,655.6","9,965.6","9,653.4",775.88K,2.97%
2020-02-24,"9,662.7","9,943.2","9,981.0","9,507.0",980.00K,-2.82%
2020-02-25,"9,317.2","9,662.6","9,672.3","9,269.8",937.97K,-3.57%
2020-02-26,"8,800.3","9,317.1","9,368.1","8,672.0",1.32M,-5.55%
2020-02-27,"8,818.6","8,800.1","8,968.3","8,538.5",1.13M,0.21%
2020-02-28,"8,697.5","8,820.1","8,898.7","8,451.9",1.08M,-1.37%
2020-02-29,"8,543.7","8,697.1","8,793.7","8,539.8",683.44K,-1.77%
2020-03-01,"8,540.0","8,543.8","8,737.2","8,437.2",784.05K,-0.04%
2020-03-02,"8,904.8","8,537.5","8,961.8","8,503.1",1.02M,4.27%
2020-03-03,"8,761.4","8,906.1","8,911.7","8,669.3",1.01M,-1.61%
2020-03-04,"8,757.9","8,761.3","8,840.3","8,679.7",759.69K,-0.04%
2020-03-05,"9,060.3","8,757.9","9,147.3","8,751.5",950.76K,3.45%
2020-03-06,"9,134.8","9,060.6","9,165.2","9,004.9",1.04M,0.82%
2020-03-07,"8,887.8","9,134.2","9,180.8","8,848.7",750.65K,-2.70%
2020-03-08,"8,034.1","8,887.8","8,888.0","8,015.3",1.11M,-9.61%
2020-03-09,"7,933.0","8,035.8","8,158.8","7,648.7",1.54M,-1.26%
2020-03-10,"7,891.2","7,933.0","8,145.5","7,740.2",1.20M,-0.53%
2020-03-11,"7,935.1","7,892.1","7,976.5","7,606.0",1.10M,0.56%
2020-03-12,"4,826.0","7,935.2","7,963.1","4,546.6",3.22M,-39.18%
2020-03-13,"5,584.3","4,815.2","5,934.3","3,869.5",4.17M,15.71%
2020-03-14,"5,182.7","5,589.4","5,634.9","5,072.2",1.69M,-7.19%
2020-03-15,"5,366.3","5,182.9","5,863.3","5,120.6",1.61M,3.54%
2020-03-16,"5,030.0","5,366.4","5,369.3","4,477.7",2.55M,-6.27%
2020-03-17,"5,261.1","5,030.2","5,432.8","4,946.5",1.89M,4.59%
2020-03-18,"5,361.4","5,260.7","5,373.1","5,020.9",1.80M,1.91%
2020-03-19,"6,172.0","5,359.2","6,379.5","5,256.0",2.18M,15.12%
2020-03-20,"6,205.3","6,171.6","6,858.1","5,748.2",2.22M,0.54%
2020-03-21,"6,186.2","6,205.6","6,438.3","5,887.0",1.64M,-0.31%
2020-03-22,"5,822.1","6,186.9","6,394.4","5,771.2",1.48M,-5.89%
2020-03-23,"6,468.9","5,822.0","6,564.7","5,710.8",1.88M,11.11%
2020-03-24,"6,744.6","6,468.8","6,814.2","6,380.8",1.73M,4.26%
2020-03-25,"6,678.9","6,744.8","6,930.2","6,474.6",1.52M,-0.97%
2020-03-26,"6,725.1","6,677.9","6,772.9","6,541.7",1.18M,0.69%
2020-03-27,"6,373.4","6,725.5","6,813.7","6,322.3",1.16M,-5.23%
2020-03-28,"6,233.7","6,373.4","6,374.3","6,046.5",1.26M,-2.19%
2020-03-29,"5,890.4","6,233.2","6,258.8","5,889.3",916.17K,-5.51%
2020-03-30,"6,391.0","5,890.4","6,576.5","5,872.5",1.43M,8.50%
2020-03-31,"6,412.5","6,391.1","6,513.1","6,346.3",1.05M,0.34%
2020-04-01,"6,638.5","6,412.4","6,661.3","6,157.4",1.40M,3.52%
2020-04-02,"6,800.5","6,638.8","7,182.7","6,567.9",1.74M,2.44%
2020-04-03,"6,735.9","6,799.9","7,026.3","6,623.6",1.35M,-0.95%
2020-04-04,"6,857.4","6,735.9","6,958.6","6,679.1",1.05M,1.80%
2020-04-05,"6,772.7","6,857.5","6,889.4","6,686.0",842.33K,-1.23%
2020-04-06,"7,332.3","6,772.8","7,335.0","6,770.1",1.53M,8.26%
2020-04-07,"7,185.2","7,332.3","7,440.3","7,101.7",1.32M,-2.01%
2020-04-08,"7,361.2","7,185.6","7,396.1","7,153.1",983.94K,2.45%
2020-04-09,"7,289.0","7,361.1","7,361.1","7,140.3",963.55K,-0.98%
2020-04-10,"6,863.1","7,289.0","7,294.4","6,756.1",1.37M,-5.84%
2020-04-11,"6,867.8","6,862.7","6,931.4","6,765.1",845.58K,0.07%
2020-04-12,"6,917.6","6,867.9","7,158.8","6,785.1",1.10M,0.73%
2020-04-13,"6,841.3","6,918.1","6,920.3","6,618.5",1.25M,-1.10%
2020-04-14,"6,850.9","6,841.8","6,970.8","6,768.6",999.53K,0.14%
2020-04-15,"6,629.1","6,851.3","6,929.5","6,615.9",1.00M,-3.24%
2020-04-16,"7,085.6","6,629.1","7,159.7","6,520.5",1.54M,6.89%
2020-04-17,"7,035.8","7,085.5","7,142.8","7,005.8",810.10K,-0.70%
2020-04-18,"7,230.8","7,035.9","7,259.4","7,031.5",796.45K,2.77%
2020-04-19,"7,122.9","7,230.9","7,238.0","7,079.1",5.93M,-1.49%
2020-04-20,"6,833.5","7,122.9","7,207.5","6,771.2",1.26M,-4.06%
2020-04-21,"6,842.5","6,833.4","6,919.3","6,774.3",892.57K,0.13%
2020-04-22,"7,112.9","6,842.5","7,137.4","6,821.8",914.18K,3.95%
2020-04-23,"7,488.5","7,112.8","7,655.4","7,036.5",1.34M,5.28%
2020-04-24,"7,503.8","7,491.3","7,583.5","7,423.5",951.95K,0.20%
2020-04-25,"7,540.4","7,503.9","7,684.6","7,451.0",861.93K,0.49%
2020-04-26,"7,678.9","7,540.4","7,679.4","7,520.5",921.59K,1.84%
2020-04-27,"7,766.0","7,679.4","7,768.5","7,637.7",980.50K,1.13%
2020-04-28,"7,746.9","7,766.0","7,770.1","7,655.3",808.09K,-0.25%
2020-04-29,"8,770.9","7,746.7","8,918.5","7,729.7",1.83M,13.22%
2020-04-30,"8,629.0","8,770.6","9,437.5","8,425.5",2.04M,-1.62%
2020-05-01,"8,821.6","8,628.6","9,040.3","8,621.0",1.11M,2.23%
2020-05-02,"8,966.3","8,821.6","8,986.2","8,771.3",890.34K,1.64%
2020-05-03,"8,885.5","8,966.2","9,169.9","8,742.2",1.15M,-0.90%
2020-05-04,"8,874.7","8,885.5","8,945.5","8,553.2",1.12M,-0.12%
2020-05-05,"9,001.0","8,874.2","9,078.7","8,800.4",1.05M,1.42%
2020-05-06,"9,151.4","9,000.6","9,373.7","8,923.6",1.62M,1.67%
2020-05-07,"9,979.8","9,152.7","10,033.0","9,064.8",1.91M,9.05%
2020-05-08,"9,806.2","9,980.1","10,018.2","9,731.4",1.42M,-1.74%
2020-05-09,"9,554.6","9,806.0","9,910.5","9,533.6",1.49M,-2.57%
2020-05-10,"8,738.8","9,553.9","9,569.4","8,259.3",2.47M,-8.54%
2020-05-11,"8,579.8","8,737.6","9,129.6","8,235.6",2.29M,-1.82%
2020-05-12,"8,813.8","8,569.8","8,964.5","8,542.8",1.35M,2.73%
2020-05-13,"9,298.7","8,813.9","9,384.6","8,799.1",1.50M,5.50%
2020-05-14,"9,778.4","9,298.7","9,887.5","9,265.8",1.77M,5.16%
2020-05-15,"9,318.0","9,778.6","9,819.6","9,223.2",1.56M,-4.71%
2020-05-16,"9,379.5","9,318.1","9,579.0","9,233.0",1.10M,0.66%
2020-05-17,"9,677.7","9,376.6","9,866.0","9,327.8",1.18M,3.18%
2020-05-18,"9,730.7","9,678.4","9,930.2","9,524.4",1.18M,0.55%
2020-05-19,"9,773.3","9,730.8","9,883.9","9,498.7",1.16M,0.44%
2020-05-20,"9,512.3","9,773.0","9,829.3","9,368.4",1.15M,-2.67%
2020-05-21,"9,059.0","9,511.6","9,567.1","8,833.6",1.41M,-4.76%
2020-05-22,"9,169.7","9,058.2","9,253.5","8,952.1",914.59K,1.22%
2020-05-23,"9,177.0","9,169.8","9,303.2","9,098.9",812.56K,0.08%
2020-05-24,"8,728.2","9,177.9","9,292.0","8,724.1",1.11M,-4.89%
2020-05-25,"8,898.2","8,728.0","8,959.5","8,666.1",941.89K,1.95%
2020-05-26,"8,842.5","8,897.7","8,994.6","8,713.9",784.92K,-0.63%
2020-05-27,"9,199.1","8,842.3","9,210.9","8,818.6",810.89K,4.03%
2020-05-28,"9,572.2","9,199.8","9,610.8","9,119.2",948.86K,4.06%
2020-05-29,"9,424.8","9,573.4","9,596.5","9,358.1",814.33K,-1.54%
2020-05-30,"9,692.5","9,424.8","9,729.9","9,352.7",720.62K,2.84%
2020-05-31,"9,454.8","9,692.9","9,695.6","9,406.2",645.27K,-2.45%
2020-06-01,"10,189.3","9,454.5","10,301.8","9,429.7",796.68K,7.77%
2020-06-02,"9,527.6","10,190.7","10,207.3","9,347.3",1.06M,-6.49%
2020-06-03,"9,667.2","9,527.0","9,667.2","9,421.7",558.12K,1.47%
2020-06-04,"9,794.4","9,667.2","9,864.4","9,490.9",593.66K,1.32%
2020-06-05,"9,631.2","9,794.0","9,846.1","9,628.7",527.05K,-1.67%
2020-06-06,"9,669.6","9,630.8","9,733.1","9,549.5",370.85K,0.40%
2020-06-07,"9,742.6","9,669.6","9,791.8","9,417.4",549.20K,0.76%
2020-06-08,"9,777.9","9,743.4","9,788.2","9,662.3",431.04K,0.36%
2020-06-09,"9,768.8","9,777.7","9,857.2","9,616.6",479.55K,-0.09%
2020-06-10,"9,878.8","9,768.8","9,970.9","9,710.7",533.55K,1.13%
2020-06-11,"9,283.2","9,878.9","9,945.2","9,139.1",919.30K,-6.03%
2020-06-12,"9,466.6","9,283.7","9,547.5","9,249.4",529.28K,1.97%
2020-06-13,"9,471.3","9,466.5","9,484.9","9,369.9",364.97K,0.05%
2020-06-14,"9,345.3","9,470.7","9,474.7","9,264.4",311.27K,-1.33%
2020-06-15,"9,425.4","9,345.5","9,489.7","8,925.6",750.90K,0.86%
2020-06-16,"9,523.5","9,425.6","9,577.1","9,379.3",545.47K,1.04%
2020-06-17,"9,464.6","9,523.6","9,543.6","9,258.2",446.45K,-0.62%
2020-06-18,"9,388.1","9,464.6","9,480.4","9,289.3",391.67K,-0.81%
2020-06-19,"9,314.0","9,390.3","9,424.0","9,249.6",478.49K,-0.79%
2020-06-20,"9,358.8","9,314.0","9,394.5","9,199.8",383.44K,0.48%
2020-06-21,"9,296.4","9,358.8","9,411.2","9,288.5",335.99K,-0.67%
2020-06-22,"9,683.7","9,296.5","9,751.9","9,285.8",523.32K,4.17%
2020-06-23,"9,624.6","9,683.9","9,715.6","9,581.8",375.49K,-0.61%
2020-06-24,"9,302.0","9,624.6","9,667.4","9,223.0",515.78K,-3.35%
2020-06-25,"9,247.5","9,300.8","9,327.3","9,022.6",524.45K,-0.59%
2020-06-26,"9,160.0","9,247.5","9,296.5","9,060.1",489.84K,-0.95%
